"name","base_location","base_country","base_classification","location_precision","investment_focus","stage_focus","geographic_investment_focus","linkedin_profile_url","public_contact_email","public_contact_email_source_url","primary_focus_source_url","notes","current_company_or_firm","company_website","company_source","website_type"
"Justin Mateen","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Software, Financial Services","Seed, Series A, Pre-Seed","United States, Mexico, United Kingdom","http://www.linkedin.com/pub/justin-mateen/6a/a9a/388","","","https://shizune.co/investors/angel-investors-kenya","","","http://www.justinmateen.com","","public_website"
"Justin Stanford","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","FinTech, Financial Services, Security","Seed, Angel, Series A","South Africa","http://www.linkedin.com/in/justins","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Justin Ziegler","","","Unresolved","unresolved","Social Network","Seed","Kenya","https://www.linkedin.com/in/justin-ziegler-8629895b","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Kahlil Lalji","Los Angeles, California, United States","United States","Diaspora / outside Africa","exact_public","Artificial Intelligence, Information Technology, Software","Seed, Pre-Seed","United States, Nigeria, Switzerland","https://www.linkedin.com/in/bykahlil","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","https://bykahlil.com","","public_website"
"Kanyi Maqubela","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, FinTech, Artificial Intelligence","Seed, Pre-Seed, Angel","United States, Brazil, Canada","http://www.linkedin.com/in/kanyi","","","https://shizune.co/investors/angel-investors-south-africa","","","http://blog.kanyi.me/","","public_website"
"Karen Sewasa","","","Unresolved","unresolved","Internet, Professional Networking","Pre-Seed","Egypt","https://ie.linkedin.com/in/karen-sewasa-05034039","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
"Karim Atiyeh","Brooklyn, New York, United States · 9 investments in the past 12 months","United States","Diaspora / outside Africa","exact_public","Software, FinTech, Artificial Intelligence, Financial, IT","Seed, Series A, Series B, Pre-Seed","United States, Nigeria, Canada, Brazil","https://www.linkedin.com/in/karimatiyeh","","","https://shizune.co/investors/angel-investors-nigeria","","","https://diasikin.info/","","public_website"
"Karim Beguir","London, England, United Kingdom · 2 investments in the past 12 months","United Kingdom","Diaspora / outside Africa","exact_public","Artificial Intelligence, Software, Information Technology","Seed, Pre-Seed, Series A","Tunisia, France, United Kingdom","https://www.linkedin.com/in/karim-beguir-2350161","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Karim Hussein","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Marketplace, Internet, Blockchain","Series A, Seed, Pre-Seed","Egypt, Jordan, United States","https://www.linkedin.com/in/karimhussein","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Karim Jouini","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","SMS, VoIP, Mobile","Series A, Funding Round","France, Senegal","https://www.linkedin.com/in/karimjouini","","","https://shizune.co/investors/angel-investors-senegal","","","","",""
"Karnika Yashwant","Mumbai, Maharashtra, India","India","Diaspora / outside Africa","exact_public","Blockchain, Cryptocurrency, FinTech","Initial Coin Offering, Series A","China, Singapore, United States","https://www.linkedin.com/in/mrkey","","","https://shizune.co/investors/blockchain-angel-investors-africa","","KEY Difference","https://keydifference.com/","Official linked site metadata","company_or_firm_site"
"Karthik Ramakrishnan","Seattle, Washington, United States","United States","Diaspora / outside Africa","exact_public","EdTech, Banking, FinTech","Seed, Pre-Seed","Nigeria, India","https://www.linkedin.com/in/karthikrama","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Keisuke Honda","Chuo, Hokkaido, Japan","Japan","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Software","Series A, Seed, Series B","United States, Japan, United Kingdom","https://www.linkedin.com/in/keisuke-honda-b33201108","","","https://shizune.co/investors/financial-services-angel-investors-kenya","","","","",""
"Ken Njoroge","Nairobi, Nairobi Area, Kenya","Kenya","Africa-based","exact_public","Software, Billing, Web Development","Pre-Seed, Series A, Convertible Note","Kenya, United States","https://www.linkedin.com/in/ken-njoroge-48bb46","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Kevin Ambrosini","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, Logistics, Supply Chain Management","Seed, Series B, Series A","United States, Egypt, Kenya","http://www.linkedin.com/in/ambrosini","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Kevin Johnson","Seattle, Washington, United States","United States","Diaspora / outside Africa","exact_public","E-Commerce, SaaS, Advertising, E-Learning, Retail Technology","Seed, Angel, Series A","United States, Egypt, The Netherlands","https://www.linkedin.com/in/kevjohns","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Khaled Alashmouny","Cupertino, California, United States","United States","Diaspora / outside Africa","exact_public","Blockchain, Hardware, Software","Seed","Egypt","https://www.linkedin.com/in/khaledalashmouny","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Khaled Ben Jilani","Tunis, Tunis, Tunisia","Tunisia","Africa-based","exact_public","Apps, EdTech, FinTech, Software","Series A, Angel","Tunisia, United States","https://www.linkedin.com/in/khaledbenjilani","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Khaled Ismail.","Cairo, Al Qahirah, Egypt","Egypt","Africa-based","exact_public","Health Care, Medical, Information Technology, Gaming","Seed, Angel, Pre-Seed, Series A","Egypt","https://www.linkedin.com/in/khaled-ismail-699158","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Khaled Nasser","","","Unresolved","unresolved","Internet, Professional Networking","Pre-Seed","Egypt","https://eg.linkedin.com/in/khaled-nasser-243a5850","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
"Kiprono Elvis Terigin","","","Unresolved","unresolved","Beauty, Retail, Consumer","Seed","Kenya","https://www.linkedin.com/in/kiprono-elvis-terigin-2b415092","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Kola Aina","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","FinTech, Financial Services, Internet","Seed, Pre-Seed, Funding Round","Nigeria, United States, Kenya","https://www.linkedin.com/in/kola-aina-vp","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Kristjan Vilosius","","","Unresolved","unresolved","Information Technology, Software, E-Commerce","Seed, Series A, Angel","Estonia, South Africa, United States","https://www.linkedin.com/in/kristjan-vilosius","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","","",""
"Kushal Shah","","","Unresolved","unresolved","eSports, Video, Gaming","Seed, Series B","Egypt, United States, United Arab Emirates","https://www.linkedin.com/in/kushyahvi","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Kwehnui Tawah","","","Unresolved","unresolved","Beauty, Retail, Consumer","Seed","Kenya","https://www.linkedin.com/in/kwehnui-tawah-62421150","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Kyane Kassiri","","","Unresolved","unresolved","Retail, Finance, Software","Pre-Seed, Seed","Nigeria, Pakistan, United Kingdom","https://www.linkedin.com/in/kyanekassiri","","","https://shizune.co/investors/finance-angel-investors-nigeria","","","","",""
"Kyle Daley","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Payments, InsurTech, Insurance","Seed, Pre-Seed","Canada, Nigeria","https://www.linkedin.com/in/kyledaley","","","https://shizune.co/investors/insurtech-angel-investors-africa","","","","",""
"Lanre Adelowo","","","Unresolved","unresolved","Health Care, Pharmaceutical, Virtualization","Pre-Seed","Nigeria","http://linkedin.com/in/adelowolanre","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","https://lanre.wtf/","","personal_site"
"Lanre Ogungbe","","","Unresolved","unresolved","Software, CRM, Telecommunications, Hardware, Internet","Angel","Nigeria","https://www.linkedin.com/in/ogungbelanre","","","https://shizune.co/investors/internet-angel-investors-africa","","","","",""
"Larry RosenBerger","San Quentin, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Analytics, Finance","Series A, Seed, Pre-Seed","United States, Kenya","http://www.linkedin.com/in/larryrosenberger","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Lars Fjeldsoe-Nielsen","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, Information Technology, Artificial Intelligence","Seed, Series A, Series B","United States, Denmark, United Kingdom","https://www.linkedin.com/in/larsfjeldsoenielsen","","","https://shizune.co/investors/angel-investors-algeria","","Europe’s leading venture firm focused exclusively on backing European","https://www.balderton.com/","Official linked site title","company_or_firm_site"
"Laura Spiekerman","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","SaaS, Banking, Software","Seed, Series A","United States, Tanzania","https://www.linkedin.com/in/laura-spiekerman-7306065","","","https://shizune.co/investors/angel-investors-tanzania","","","","",""
"Leonard Stiegeler","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Financial Services, FinTech, Credit","Seed, Angel, Pre-Seed","Nigeria, South Africa, United States","https://www.linkedin.com/in/leonardstiegeler","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Lish Lee Jung","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, Banking, FinTech","Seed, Series E","India, Nigeria, United States","https://www.linkedin.com/in/lish-lee-jung","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Llew Claasen","Cape Town, South Africa, South Africa","South Africa","Africa-based","exact_public","Logistics, Health Care, Mobile Apps","Seed, Series A, Funding Round","Egypt, Nigeria, South Africa","https://www.linkedin.com/in/llew-claasen-aa7145","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","","",""
"Luciano Freitas","São Paulo, Sao Paulo, Brazil","Brazil","Diaspora / outside Africa","exact_public","E-Commerce","Seed","Kenya","https://www.linkedin.com/in/freitasluciano","","","https://shizune.co/investors/marketplace-angel-investors-africa","Public business email retained after QA","","https://www.lucianofreitas.com/","","personal_site"
"Magnus Olsson","Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","exact_public","E-Commerce, Media and Entertainment, Digital Media","Seed, Series A, Funding Round","United Arab Emirates, Egypt, United States","https://www.linkedin.com/in/magnuskolsson","","","https://shizune.co/investors/marketplace-angel-investors-egypt","","","","",""
"Mahmoud Ali","Gîza, Al Jizah, Egypt","Egypt","Africa-based","exact_public","FinTech, Human Resources, Health Insurance","Pre-Seed","Egypt","https://www.linkedin.com/in/m7moud","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Maijid Moujaled","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Gaming, Mobile","Seed, Series A","Nigeria, South Africa","https://www.linkedin.com/in/maijid","","","https://shizune.co/investors/enterprise-angel-investors-south-africa","","","","",""
"Malek Ben Ayed","","","Unresolved","unresolved","Taxi Service","Angel","Tunisia","https://de.linkedin.com/in/malek-ben-ayed-4171171b","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Malek Meslemani","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Artificial Intelligence, Health Care, SaaS","Seed, Series A, Pre-Seed","United Kingdom, Tunisia, United States","https://www.linkedin.com/in/malek-meslemani","","","https://shizune.co/investors/angel-investors-tunisia","","","","",""
"Mandeep Singh","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Artificial Intelligence, Software, Information Technology","Seed, Pre-Seed, Series A","United Kingdom, United States, Germany","https://www.linkedin.com/in/mandeepsinghuk","","","https://shizune.co/investors/angel-investors-algeria","","Trouva","https://www.trouva.com/","Official linked site title","company_or_firm_site"
"Maneesh Arora","San Francisco Bay Area, California, United States","United States","Diaspora / outside Africa","exact_public","Mobile, Internet, Mobile Apps","Seed, Angel, Pre-Seed","United States, Japan, Nigeria","http://www.linkedin.com/in/maneesharora","","","https://shizune.co/investors/b2b-angel-investors-africa","","Chandravanshi Inc","https://www.chandravanshi.org/en/","Official linked site metadata","company_or_firm_site"
"Manuel Coser","Turin, Piemonte, Italy","Italy","Diaspora / outside Africa","exact_public","Credit, FinTech, InsurTech","Angel","United States","https://www.linkedin.com/in/manuel-coser","","","https://shizune.co/investors/angel-investors-mauritius","","","","",""
"Marc Bhargava","Miami, Florida, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Blockchain","Seed, Series A, Pre-Seed","United States, Canada, France","http://www.linkedin.com/pub/marc-bhargava/11/303/550","","","https://shizune.co/investors/angel-investors-south-africa","","Brainchild & Co","https://brainchild.co/investments","Official linked site title","company_or_firm_site"
"Marko Virkebau","","","Unresolved","unresolved","Software, Energy, Mobile","Seed, Pre-Seed","Estonia, South Africa","https://www.linkedin.com/in/marko-virkebau-3466651b","","","https://shizune.co/investors/fintech-angel-investors-south-africa","","","","",""
"Markus Ament","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Cryptocurrency, FinTech","Seed, Pre-Seed, Series A","Germany, United Kingdom, India","https://www.linkedin.com/in/ament","","","https://shizune.co/investors/angel-investors-kenya","","","http://www.centrifuge.one","","public_website"
"Markus Gemuend","","","Unresolved","unresolved","Women's, mHealth, Health Care","Pre-Seed","Kenya","https://www.linkedin.com/in/markus-gemuend-b1bb448b","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Markus Villig","Tallinn, Harjumaa, Estonia","Estonia","Diaspora / outside Africa","exact_public","Software, FinTech, Information Technology","Seed, Pre-Seed, Funding Round","Estonia, United States, United Kingdom","http://www.linkedin.com/in/markusvillig","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Martin Villig","Tallinn, Harjumaa, Estonia","Estonia","Diaspora / outside Africa","exact_public","Software, Information Technology, Education","Seed, Angel, Pre-Seed","Estonia, Spain, South Africa","http://www.linkedin.com/in/waldec","mv@zero.ee","https://martinvillig.com/","https://shizune.co/investors/angel-investors-south-africa","Public business email retained after QA","","https://martinvillig.com/","","personal_site"
"Matilde Giglio","Bangalore, Karnataka, India","India","Diaspora / outside Africa","exact_public","Financial Services, Software, FinTech","Seed, Pre-Seed, Series A","India, United Kingdom, United States","https://www.linkedin.com/in/matilde-giglio-774961a8","","","https://shizune.co/investors/finance-angel-investors-africa","","","https://medium.com/@matildegiglio","","public_website"
"Mato Peri&#263;","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Financial Services, FinTech, E-Commerce","Seed, Series A, Pre-Seed","Germany, India, United Kingdom","https://www.linkedin.com/in/matoperic","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Matt Kalish","Boston, Massachusetts, United States","United States","Diaspora / outside Africa","exact_public","Gaming, Online Games, Consumer Goods","Seed, Series A","United States, Kenya","https://www.linkedin.com/in/matthew-kalish-529ab33","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Matt Robinson","London, England, United Kingdom · 3 investments in the past 12 months","United Kingdom","Diaspora / outside Africa","exact_public","Software, FinTech, Financial Services","Seed, Pre-Seed, Series A","United Kingdom, United States, Germany","https://www.linkedin.com/in/mattjackrobinson","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Matt Sutton","","","Unresolved","unresolved","Consumer Goods","Seed","Kenya","https://www.linkedin.com/in/mattsutton19","","","https://shizune.co/investors/consumer-angel-investors-africa","","","","",""
"Matthias Hilpert","Berlin, Berlin, Germany","Germany","Diaspora / outside Africa","exact_public","Software, SaaS, Information Technology","Seed, Series A, Pre-Seed","Germany, United States, United Kingdom","https://www.linkedin.com/in/matthiashilpert","","","https://shizune.co/investors/angel-investors-ghana","","","https://www.matthiashilpert.com/","","personal_site"
"Melvyn Lubega","Johannesburg, South Africa, South Africa","South Africa","Africa-based","exact_public","E-Learning, Information Technology","Seed","Kenya","https://www.linkedin.com/in/melvyn-lubega-6331401a","","","https://shizune.co/investors/edtech-angel-investors-africa","","","","",""
"Merijn Campsteyn","Leuven, Vlaams-Brabant, Belgium","Belgium","Diaspora / outside Africa","exact_public","Software, Hardware, Internet, CRM, Telecommunications","Angel","Nigeria","https://www.linkedin.com/in/merijncampsteyn","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Michael Chow","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Rental Property","Seed, Grant, Pre-Seed","United States, Kenya","https://www.linkedin.com/in/michaelchow","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","Dart Technologies","https://dart.art/","Official linked site metadata","company_or_firm_site"
"Michael Cohn","Atlanta, Georgia, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, Transportation","Pre-Seed, Seed, Series A","United States, Israel, Nigeria","https://www.linkedin.com/in/michaelcohn","","","https://shizune.co/investors/food-and-beverage-angel-investors-africa","","","","",""
"Michael Greve","Stuttgart, Baden-Wurttemberg, Germany","Germany","Diaspora / outside Africa","exact_public","Mobile, Shopping, E-Commerce","Angel","South Africa","http://www.linkedin.com/in/migreve","","","https://shizune.co/investors/marketplace-angel-investors-south-africa","","","","",""
"Michael Lahyani","Dubai, Dubai, United Arab Emirates","United Arab Emirates","Diaspora / outside Africa","exact_public","B2B, SaaS, Beauty","Seed, Series A, Series B","Egypt, Morocco, Colombia","https://www.linkedin.com/in/michael-lahyani-25827b4","","","https://shizune.co/investors/angel-investors-morocco","","","","",""
"Michael Leeman","San Diego, California, United States","United States","Diaspora / outside Africa","exact_public","Apps, Publishing, Software","Angel, Seed, Funding Round","United States, South Africa","https://www.linkedin.com/in/michael-leeman-9501601","","","https://shizune.co/investors/enterprise-angel-investors-africa","","Activate Behavior Change","https://info.cognician.com","Official linked site title","company_or_firm_site"
"Michael Novogratz","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Biotechnology, B2B, Retail, Social","Seed, Series A, Series B, Funding Round","United States, India, Germany, Nigeria","https://www.linkedin.com/in/novogratz","","","https://shizune.co/investors/b2b-angel-investors-africa","","","","",""
"Michael Pennington","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Software, SaaS, Financial Services","Seed, Pre-Seed, Funding Round","United Kingdom, United States, Spain","https://www.linkedin.com/in/michael-pennington-35b2a71","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Michael Seibel","San Francisco, California, United States · 22 investments in the past 12 months","United States","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, FinTech, Financial, Internet","Pre-Seed, Seed, Series A","United States, Nigeria, United Kingdom","https://www.linkedin.com/in/mwseibel","","","https://shizune.co/investors/angel-investors-morocco","","","https://www.michaelseibel.com/","","personal_site"
"Michael Vaughan","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Software","Seed, Series A, Funding Round","United States, Brazil, Germany","http://www.linkedin.com/in/michaelvaughan","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Miles Morland","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Internet, Education, Publishing","Pre-Seed","Mozambique","https://www.linkedin.com/in/miles-morland-669563b3","","","https://shizune.co/investors/edtech-angel-investors-africa","","","","",""
"Mohamed Haroun","Mansoura, Ad Daqahliyah, Egypt","Egypt","Africa-based","exact_public","Internet, Software, Web Design","Pre-Seed","Egypt","https://www.linkedin.com/in/m7mdharon","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Mohamed Okasha","","","Unresolved","unresolved","Financial Services, E-Commerce, B2B","Pre-Seed, Seed, Angel","Egypt","https://www.linkedin.com/in/mohamed-el-sayed-okasha-056b87a2","","","https://shizune.co/investors/enterprise-angel-investors-egypt","","","","",""
"Moses Koledoye","","","Unresolved","unresolved","Credit, FinTech, Lending","Pre-Seed","Nigeria","https://www.linkedin.com/in/moseskoledoye","","","https://shizune.co/investors/artificial-intelligence-angel-investors-africa","","","","",""
"Mostafa Amin","","","Unresolved","unresolved","Seed","Egypt","","https://www.linkedin.com/in/mostafaaminway","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Mumba Mumba","","","Unresolved","unresolved","Credit, Wealth Management, Financial Services","Seed","Nigeria","https://www.linkedin.com/in/mumba-mumba-b418254","","","https://shizune.co/investors/financial-services-angel-investors-nigeria","","","","",""
"Musty Mustapha","","","Unresolved","unresolved","Education, InsurTech, Insurance, Software, Financial","Pre-Seed","Nigeria","https://www.linkedin.com/in/mustaphamo","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Nadav Ben-Chanoch","Miami, Florida, United States","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, Health Care","Seed, Pre-Seed, Funding Round","United States, United Kingdom, France","https://www.linkedin.com/in/nadavbc","","","https://shizune.co/investors/angel-investors-algeria","","","","",""
"Nadayar Enegesi","","","Unresolved","unresolved","EdTech, Blockchain, Communities","Pre-Seed, Angel","United States, Nigeria","https://www.linkedin.com/in/nadayar","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","https://www.medium.com/nadayar","","public_website"
"Nasser Chourbagi","","","Unresolved","unresolved","Fashion, E-Commerce, Sustainability","Seed","Egypt","https://www.linkedin.com/in/nasser-chourbagi-ab63a013","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Nate Lipscomb","Menlo Park, California, United States","United States","Diaspora / outside Africa","exact_public","Education, EdTech, FinTech","Seed, Angel","United States, India, Kenya","https://www.linkedin.com/in/natelipscomb","","","https://shizune.co/investors/edtech-angel-investors-africa","","","","",""
"Ndubuisi Ekekwe","Pittsburgh, Pennsylvania, United States","United States","Diaspora / outside Africa","exact_public","FinTech, AgTech, Internet, Other, Hardware, Software","Pre-Seed, Angel","Nigeria, United Arab Emirates","https://www.linkedin.com/in/ndubuisi-ekekwe-36068210","","","https://shizune.co/investors/automotive-angel-investors-africa","","","http://tekedia.com","","public_website"
"Neil Thanedar","Flint, Michigan, United States","United States","Diaspora / outside Africa","exact_public","Finance, Financial Services, Apps","Seed, Funding Round","United States, Mexico, Nigeria","http://www.linkedin.com/in/thanedar","","","https://shizune.co/investors/finance-angel-investors-africa","","","https://neilthanedar.com/","","personal_site"
"Nicholas Brathwaite","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Analytics, Artificial Intelligence, Automotive","Series A, Series B, Seed","United States, India, Japan","http://www.linkedin.com/pub/nicholas-brathwaite/4/192/422","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Nicolas Douay","Paris, Ile-de-France, France","France","Diaspora / outside Africa","exact_public","Software, Artificial Intelligence, Information Technology","Seed, Pre-Seed, Series A","France, United States, United Kingdom","https://www.linkedin.com/in/nicolasdouay","","","https://shizune.co/investors/angel-investors-mauritius","","Better Angle","https://www.better-angle.com/","Official linked site title","company_or_firm_site"
"Niklas Adalberth","Stockholm, Stockholms Lan, Sweden","Sweden","Diaspora / outside Africa","exact_public","FinTech, Financial Services, Apps","Series A, Funding Round, Seed","Sweden, South Africa, United Kingdom","https://www.linkedin.com/in/niklasadalberth","","","https://shizune.co/investors/financial-services-angel-investors-south-africa","","","http://www.klarna.com","","public_website"
"Nitesh Banta","New York, New York, United States · 4 investments in the past 12 months","United States","Diaspora / outside Africa","exact_public","Software, Information Technology, Artificial Intelligence, FinTech","Seed, Series A, Pre-Seed","United States, Canada, India","http://www.linkedin.com/in/nbanta","","","https://shizune.co/investors/angel-investors-south-africa","Public business email retained after QA","","https://www.nbanta.com/","","personal_site"
"Noa Khamallah","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Real Estate, Information Technology, FinTech","Seed, Series A, Pre-Seed","United States, Egypt, India","https://www.linkedin.com/in/nkmobility","","","https://shizune.co/investors/angel-investors-egypt","","","https://member.forbescouncils.com/profile/7b354630-26c4-495b-b056-559378118737","","public_website"
"O.D. Kobo","London, England, United Kingdom","United Kingdom","Diaspora / outside Africa","exact_public","Internet, Broadcasting, Video","Seed, Series A, Series B","China, Israel, Nigeria","https://www.linkedin.com/in/odkobo","","","https://shizune.co/investors/marketplace-angel-investors-nigeria","","","","",""
"Odunayo Eweniyi","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","EdTech, Facebook, Education","Pre-Seed, Seed, Angel","South Africa, United States","https://www.linkedin.com/in/odunayoeweniyi","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Olawale Ajayi","","","Unresolved","unresolved","Apps, FinTech, Finance","Pre-Seed","Nigeria","https://www.linkedin.com/in/olawale-o-ajayi-8549621b3","","","https://shizune.co/investors/blockchain-angel-investors-africa","","","https://www.kabincity.com","","public_website"
"Oli Farago","","","Unresolved","unresolved","Real Estate, Software, Financial Services","Seed, Equity Crowdfunding, Series A","United Kingdom, United States, South Africa","https://www.linkedin.com/in/oliverfarago","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Oliver Jung","London, England, United Kingdom · 3 investments in the past 12 months","United Kingdom","Diaspora / outside Africa","exact_public","E-Commerce, FinTech, Internet, Software, Commerce/Shopping, Financial","Seed, Series A, Series B","United States, Germany, India","https://www.linkedin.com/in/oliver-jung-465351","","","https://shizune.co/investors/angel-investors-nigeria","","","","",""
"Oliver Merkel","Berlin, Berlin, Germany","Germany","Diaspora / outside Africa","exact_public","Fashion, Retail, Delivery","Seed, Angel, Pre-Seed","Germany, South Africa, United Kingdom","https://www.linkedin.com/in/oliver-merkel-39283780","","","https://shizune.co/investors/angel-investors-south-africa","","","","",""
"Olugbenga Agboola","","","Unresolved","unresolved","FinTech, Financial Services, Internet, Finance, Financial, Payments","Pre-Seed, Seed, Series A","Nigeria, Kenya, United States","https://www.linkedin.com/in/olugbeng","","","https://shizune.co/investors/angel-investors-kenya","","","","",""
"Olumide Ogunsanwo","Miami, Florida, United States","United States","Diaspora / outside Africa","exact_public","Finance, Financial Services","Pre-Seed","Nigeria","https://www.linkedin.com/in/olumideogunsanwo","","","https://shizune.co/investors/finance-angel-investors-africa","","","","",""
"Olumide Soyombo","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Financial Services, FinTech, Finance, Financial, Payments, Software","Pre-Seed, Seed, Angel","Nigeria, United States, United Kingdom","https://www.linkedin.com/in/olumide-soyombo-62117334","","","https://shizune.co/investors/angel-investors-nigeria","","","http://www.leadpath.com.ng/team/olumide.php","","public_website"
"OMAR ALAMI","","","Unresolved","unresolved","E-Commerce","Pre-Seed","Morocco","https://www.linkedin.com/in/omar-alami-50abb87","","","https://shizune.co/investors/angel-investors-morocco","","","","",""
"Omar Darwazah","New York, New York, United States","United States","Diaspora / outside Africa","exact_public","Financial Services, FinTech, Internet, Information Technology, Finance","Seed, Pre-Seed, Series B","United States, Egypt, United Arab Emirates","https://www.linkedin.com/in/omar-darwazah-93721a1","","","https://shizune.co/investors/angel-investors-egypt","","","https://omardarwazah.com/","","personal_site"
"Opeyemi Awoyemi","Lagos, Lagos, Nigeria","Nigeria","Africa-based","exact_public","Payments, Software, InsurTech, Financial, Other, Design","Pre-Seed, Seed","Nigeria, United States","http://www.linkedin.com/in/opeawo","","","https://shizune.co/investors/angel-investors-nigeria","","","http://opeawo.com","","public_website"
"Ore Ogundipe","Vancouver, British Columbia, Canada","Canada","Diaspora / outside Africa","exact_public","Health Care, Pharmaceutical, Virtualization","Pre-Seed","Nigeria","https://www.linkedin.com/in/ogundipeore","","","https://shizune.co/investors/enterprise-angel-investors-nigeria","","","","",""
"Osama Elkady","San Francisco, California, United States","United States","Diaspora / outside Africa","exact_public","Software, Logistics, Consulting","Seed, Pre-Seed","Egypt, United States","https://www.linkedin.com/in/osamaelkady","","","https://shizune.co/investors/angel-investors-egypt","","","","",""
"Oskar Hartmann","Moscow, Moscow City, Russian Federation","Russian Federation","Diaspora / outside Africa","exact_public","E-Commerce, Internet, Automotive","Seed, Series A, Pre-Seed","Germany, Russian Federation, India","https://ru.linkedin.com/in/oskarhartmann","","","https://shizune.co/investors/angel-investors-kenya","","","https://oskarhartmann.com/en/","","public_website"
